Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
,27/03/2006,1.9,Other,1085,1103,1100,
,28/03/2006,15.5,Other,1061,1091,1086,
,29/03/2006,8.8,Other,1041,1109,1105,
,30/03/2006,5.6,Other,1060,1120,1109,
Kota,01/03/2006,262.5,Other,1060,1165,1150,
,02/03/2006,221,Other,1135,1178,1155,
,03/03/2006,350,Other,1090,1185,1160,
,04/03/2006,459.1,Other,1061,1170,1145,
,06/03/2006,237,Other,1117,1172,1140,
,07/03/2006,206.5,Other,1120,1162,1135,
,08/03/2006,166.5,Other,1061,1163,1150,
,09/03/2006,176.7,Other,1097,1154,1140,
,10/03/2006,65.6,Other,1100,1154,1140,
,11/03/2006,48,Other,1066,1158,1135,
,13/03/2006,173.2,Other,1070,1162,1140,
,14/03/2006,31.2,Other,1075,1150,1130,
,16/03/2006,51.4,Other,1050,1148,1125,
,17/03/2006,91,Other,1033,1137,1120,
,18/03/2006,114.5,Other,1071,1139,1120,
,20/03/2006,81,Other,1049,1142,1105,
,21/03/2006,103.3,Other,1035,1138,1100,
,22/03/2006,108,Other,1080,1150,1110,
,23/03/2006,147.3,Other,1080,1147,1105,
,24/03/2006,204.7,Other,1100,1146,1135,
,25/03/2006,157.5,Other,1071,1129,1105,
,27/03/2006,205.5,Other,1080,1139,1110,
,28/03/2006,180,Other,1090,1146,1125,
,30/03/2006,254,Other,1081,1136,1120,
,31/03/2006,131,Other,1087,1139,1115,
Nimbahera,01/03/2006,13.8,Other,1080,1122,1100,
,02/03/2006,3,Other,1090,1120,1100,
,03/03/2006,6.2,Other,1080,1120,1100,
,04/03/2006,8.5,Other,1080,1134,1100,
,06/03/2006,0.9,Other,1075,1134,1100,
,07/03/2006,10.5,Other,1080,1126,1100,
,08/03/2006,10.3,Other,900,1100,1000,
,09/03/2006,5.5,Other,1050,1100,1075,
,10/03/2006,8.3,Other,1080,1110,1095,
,11/03/2006,9.5,Other,1101,1127,1110,
,16/03/2006,0.8,Other,1050,1115,1100,
,17/03/2006,16.5,Other,1100,1110,1105,
,20/03/2006,10.4,Other,1080,1110,1100,
,25/03/2006,10.3,Other,1080,1105,1100,
,29/03/2006,21.6,Other,1080,1110,1100,
Pratapgarh,01/03/2006,14.9,Other,1097,1128,1110,
,02/03/2006,7.9,Other,1113,1139,1125,
,03/03/2006,9.3,Other,1115,1136,1125,
,05/03/2006,10.8,Other,1100,1124,1110,
,07/03/2006,13.6,Other,1085,1117,1100,
,08/03/2006,16.2,Other,1097,1106,1100,
,09/03/2006,19.9,Other,1091,1107,1100,
,10/03/2006,3,Other,1088,1112,1100,
,11/03/2006,9.2,Other,1090,1109,1100,
,12/03/2006,10.6,Other,1066,1108,1090,
,16/03/2006,6.6,Other,1060,1094,1080,
,17/03/2006,8.2,Other,1090,1100,1095,
,18/03/2006,9.1,Other,1082,1105,1095,
,19/03/2006,5.1,Other,1040,1090,1070,
,21/03/2006,3.1,Other,1074,1090,1080,
,23/03/2006,10.5,Other,1076,1090,1085,
,24/03/2006,12.3,Other,1079,1100,1090,
,25/03/2006,3.1,Other,1078,1105,1090,
,26/03/2006,13.9,Other,1093,1108,1100,
,28/03/2006,9.4,Other,1041,1103,1075,
,29/03/2006,22.5,Other,1041,1105,1075,
Ramaganj Mandi,01/03/2006,15.8,Other,1090,1120,1110,
,03/03/2006,13,Other,1100,1131,1120,
,04/03/2006,12,Other,1100,1130,1121,
,06/03/2006,9.5,Other,1118,1134,1118,
,07/03/2006,7.5,Other,1110,1135,1125,
,08/03/2006,8.2,Other,1100,1120,1118,
,09/03/2006,7.4,Other,1100,1122,1113,
,10/03/2006,7.3,Other,1100,1124,1124,
,11/03/2006,9,Other,1083,1117,1108,
,13/03/2006,8.2,Other,1100,1110,1101,
,16/03/2006,2.2,Other,1070,1097,1095,
,20/03/2006,2,Other,990,1110,1092,
,21/03/2006,3.5,Other,1090,1095,1095,
,22/03/2006,7.5,Other,1070,1095,1090,
,23/03/2006,10.2,Other,1060,1106,1106,
,24/03/2006,10.6,Other,1071,1108,1095,
,27/03/2006,12,Other,1095,1101,1099,
,28/03/2006,4,Other,1075,1101,1099,
Sawai Madhopur,09/03/2006,6.1, ,NR,NR,NR,
,11/03/2006,0.1,Yellow,1080,1080,1080,
