,GAIN,LOSS,CONFIDENCE,MEAN_GAIN,MEAN_LOSS,MEAN_PRICE,DATE,PREDICTED
0,0.0,0.0,0.4666666666666667,1348.6909214564732,1348.6909214564732,1264.5522615559896,2006-08-27,0.0
1,68.07270744202629,68.07270744202629,0.43448275862068964,1332.624968998016,1332.624968998016,1254.820545275458,2006-08-28,37.32503982671669
2,70.7275484281206,70.7275484281206,0.42142857142857143,1335.2798099841102,1335.2798099841102,1256.1681871686662,2006-08-29,38.57561378642373
3,63.09516668410515,63.09516668410515,0.4148148148148148,1327.6474282400948,1327.6474282400948,1252.5316614221645,2006-08-30,34.96847199996393
4,73.4852501989294,73.4852501989294,0.4153846153846154,1338.037511754919,1338.037511754919,1258.10173433744,2006-08-31,39.86676290411275
5,78.2464979044596,78.2464979044596,0.384,1342.7987594604492,1342.7987594604492,1256.2613193359375,2006-09-01,42.08592211158193
6,81.92064160896075,81.92064160896075,0.36666666666666664,1346.4729031649504,1346.4729031649504,1255.7520975748698,2006-09-02,43.785414702601344
7,73.14305094401038,73.14305094401038,0.3652173913043478,1337.6953125,1337.6953125,1252.2504023012907,2006-09-03,39.719605095722734
8,78.28631860131622,78.28631860131622,0.33636363636363636,1342.8385801573058,1342.8385801573058,1251.5101323908025,2006-09-04,42.12065664259494
9,65.86677009892651,65.86677009892651,0.3904761904761905,1330.4190316549161,1330.4190316549161,1251.273879859561,2006-09-05,36.290410981097835
10,69.1757344876803,69.1757344876803,0.39,1333.72799604367,1333.72799604367,1250.4071197509766,2006-09-06,37.85300504610527
11,62.896564589491845,62.896564589491845,0.3894736842105263,1327.4488261454815,1327.4488261454815,1247.2045249537418,2006-09-07,34.878734109107654
12,65.85748123004873,65.85748123004873,0.34444444444444444,1330.4097427860384,1330.4097427860384,1242.849281141493,2006-09-08,36.29884439202456
13,62.30688964843739,62.30688964843739,0.35294117647058826,1326.859151204427,1326.859151204427,1242.224348000919,2006-09-09,34.60674765765045
14,71.19302016106212,71.19302016106212,0.2875,1335.7452817170517,1335.7452817170517,1237.7454025268555,2006-09-10,38.83830511508421
15,63.30680582682294,63.30680582682294,0.3333333333333333,1327.8590673828126,1327.8590673828126,1239.1745125325522,2006-09-11,35.09016667496555
16,37.56291404441549,37.56291404441549,0.38571428571428573,1302.115175600405,1302.115175600405,1233.8594909667968,2006-09-12,22.389535072462188
17,32.782583124070015,32.782583124070015,0.3230769230769231,1297.3348446800596,1297.3348446800596,1228.9356473482571,2006-09-13,19.92674975013072
18,35.51998283939088,35.51998283939088,0.38333333333333336,1300.0722443953805,1300.0722443953805,1237.7043589274087,2006-09-14,21.338580484051064
19,31.146352655320015,31.146352655320015,0.38181818181818183,1295.6986142113096,1295.6986142113096,1234.8501831054687,2006-09-15,19.05871419641598
20,31.526717936197883,31.526717936197883,0.42,1296.0789794921875,1296.0789794921875,1236.9079931640624,2006-09-16,19.254541186382987
21,34.729858194986946,34.729858194986946,0.35555555555555557,1299.2821197509766,1299.2821197509766,1237.6091796875,2006-09-17,20.934119960831595
22,33.48132932176782,33.48132932176782,0.425,1298.0335908777574,1298.0335908777574,1246.4073394775392,2006-09-18,20.276369561355132
23,31.806555408296163,31.806555408296163,0.4,1296.3588169642858,1296.3588169642858,1240.4952392578125,2006-09-19,19.403420947267332
24,33.35552840795276,33.35552840795276,0.43333333333333335,1297.9077899639424,1297.9077899639424,1244.3763712565103,2006-09-20,20.21015652883089
25,38.28697184244788,38.28697184244788,0.4,1302.8392333984375,1302.8392333984375,1243.6002392578125,2006-09-21,22.758198068176984
26,33.23742485894104,33.23742485894104,0.45,1297.7896864149307,1297.7896864149307,1246.4757507324218,2006-09-22,20.147492674031273
27,47.62968424479163,47.62968424479163,0.4,1312.1819458007812,1312.1819458007812,1252.746443684896,2006-09-23,27.459259457497623
28,52.203028157552126,52.203028157552126,0.3,1316.7552897135417,1316.7552897135417,1239.8644287109375,2006-09-24,29.738193222617426
29,60.47068766276038,60.47068766276038,0.4,1325.02294921875,1325.02294921875,1259.49052734375,2006-09-25,33.7165101951863
