GAIN,LOSS,CONFIDENCE,MEAN_GAIN,MEAN_LOSS,MEAN_PRICE,DATE,PREDICTED
0.0,0.0,0.5333333333333333,1360.8281631469727,1360.8281631469727,1308.328711751302,2007-02-04,0.0
53.371532728407146,53.371532728407146,0.496551724137931,1361.7002444797092,1361.7002444797092,1304.8016929889548,2007-02-05,30.274525625307334
51.42476087579689,51.42476087579689,0.4785714285714286,1359.753472627099,1359.753472627099,1301.6975315638952,2007-02-06,29.32274688852695
58.5775656092851,58.5775656092851,0.42962962962962964,1366.9062773605872,1366.9062773605872,1303.8331868489583,2007-02-07,32.802015346297964
59.966810469497204,59.966810469497204,0.46923076923076923,1368.2955222207993,1368.2955222207993,1306.404289832482,2007-02-08,33.466158781846474
68.09586952449399,68.09586952449399,0.424,1376.424581275796,1376.424581275796,1307.2450458984374,2007-02-09,37.337531816998606
63.68095155005358,63.68095155005358,0.5666666666666667,1372.0096633013557,1372.0096633013557,1318.708858235677,2007-02-10,35.24467869216505
58.77456337696276,58.77456337696276,0.5826086956521739,1367.1032751282648,1367.1032751282648,1318.997993800951,2007-02-11,32.89861159099371
66.94727121488654,66.94727121488654,0.5545454545454546,1375.2759829661886,1375.2759829661886,1322.6015369762074,2007-02-12,36.79235396407516
72.61114348766841,72.61114348766841,0.4857142857142857,1380.9398552389705,1380.9398552389705,1319.366552734375,2007-02-13,39.45083419673726
66.39568182082394,66.39568182082394,0.56,1374.724393572126,1374.724393572126,1324.7376232910156,2007-02-14,36.53214952286514
64.81419189453118,64.81419189453118,0.5684210526315789,1373.1429036458333,1373.1429036458333,1321.4588764391447,2007-02-15,35.78364349229101
64.31241509331608,64.31241509331608,0.5,1372.6411268446182,1372.6411268446182,1313.9366482204862,2007-02-16,35.540572984412776
59.661148621038365,59.661148621038365,0.5529411764705883,1367.9898603723404,1367.9898603723404,1313.4940013212315,2007-02-17,33.32114891530491
72.18276285807292,72.18276285807292,0.525,1380.511474609375,1380.511474609375,1315.2665985107421,2007-02-18,39.25105437378086
63.59671580779241,63.59671580779241,0.52,1371.9254275590945,1371.9254275590945,1307.3815576171876,2007-02-19,35.20056215785622
68.49438462999137,68.49438462999137,0.5142857142857142,1376.8230963812935,1376.8230963812935,1312.4171683175223,2007-02-20,37.51946578336321
60.02135621216917,60.02135621216917,0.5692307692307692,1368.3500679634712,1368.3500679634712,1312.117196890024,2007-02-21,33.49597521547739
62.14894198330967,62.14894198330967,0.55,1370.4776537346117,1370.4776537346117,1309.0165222167968,2007-02-22,34.51234631438489
71.1130878363715,71.1130878363715,0.4909090909090909,1379.4417995876736,1379.4417995876736,1305.7267933238636,2007-02-23,38.74971314768165
71.11557979699342,71.11557979699342,0.44,1379.4442915482955,1379.4442915482955,1297.0444311523438,2007-02-24,38.754724844784036
82.07363199869792,82.07363199869792,0.4444444444444444,1390.40234375,1390.40234375,1300.8021213107638,2007-02-25,43.837300671047295
76.46027140299475,76.46027140299475,0.5,1384.7889831542968,1384.7889831542968,1310.3223785400392,2007-02-26,41.24256802691376
94.7851866319445,94.7851866319445,0.5142857142857142,1403.1138983832466,1403.1138983832466,1319.5796595982142,2007-02-27,49.612393225508164
108.48939630246628,108.48939630246628,0.5666666666666667,1416.8181080537684,1416.8181080537684,1345.9985717773438,2007-02-28,55.72863673696255
106.26497721354167,106.26497721354167,0.56,1414.5936889648438,1414.5936889648438,1331.9023779296874,2007-03-01,54.74324032630703
97.24729990641276,97.24729990641276,0.8,1405.5760116577148,1405.5760116577148,1366.5188049316407,2007-03-02,50.85793117756768
94.75257597952168,94.75257597952168,0.7333333333333333,1403.0812877308238,1403.0812877308238,1353.2685791015624,2007-03-03,49.67709655916675
107.21251313709081,107.21251313709081,0.7,1415.541224888393,1415.541224888393,1366.2721923828126,2007-03-04,55.22139709021698
135.0539481608073,135.0539481608073,0.8,1443.3826599121094,1443.3826599121094,1413.663427734375,2007-03-05,67.45594956112883
