DATE,PRICE,IMPUTED
2006-09-23,1150,0
2006-09-24,1154,1
2006-09-25,1146,0
2006-09-26,1130,0
2006-09-27,1142,0
2006-09-28,1121,0
2006-09-29,1150,0
2006-09-30,1119,0
2006-10-01,1130,1
2006-10-02,1126,1
2006-10-03,1125,0
2006-10-04,1125,0
2006-10-05,1125,0
2006-10-06,1137,0
2006-10-07,1132,1
2006-10-08,1134,1
2006-10-09,1125,0
2006-10-10,1120,0
2006-10-11,1118,0
2006-10-12,1115,0
2006-10-13,1117,0
2006-10-14,1130,0
2006-10-15,1125,1
2006-10-16,1118,0
2006-10-17,1118,0
2006-10-18,1118,0
2006-10-19,1120,0
2006-10-20,1119,1
2006-10-21,1119,1
2006-10-22,1119,1
2006-10-23,1119,1
2006-10-24,1119,1
2006-10-25,1130,0
2006-10-26,1135,0
2006-10-27,1135,0
2006-10-28,1160,0
2006-10-29,1151,1
2006-10-30,1165,0
2006-10-31,1170,0
2006-11-01,1165,0
2006-11-02,1197,0
2006-11-03,1227,0
2006-11-04,1260,0
2006-11-05,1257,1
2006-11-06,1267,1
2006-11-07,1271,1
2006-11-08,1277,1
2006-11-09,1282,1
2006-11-10,1287,1
2006-11-11,1292,1
2006-11-12,1296,1
2006-11-13,1300,1
2006-11-14,1304,1
2006-11-15,1307,1
2006-11-16,1311,1
2006-11-17,1314,1
2006-11-18,1316,1
2006-11-19,1319,1
2006-11-20,1322,1
2006-11-21,1324,1
2006-11-22,1326,1
2006-11-23,1328,1
2006-11-24,1330,1
2006-11-25,1332,1
2006-11-26,1334,1
2006-11-27,1336,1
2006-11-28,1337,1
2006-11-29,1339,1
2006-11-30,1340,1
2006-12-01,1341,1
2006-12-02,1342,1
2006-12-03,1343,1
2006-12-04,1344,1
2006-12-05,1345,1
2006-12-06,1346,1
2006-12-07,1347,1
2006-12-08,1348,1
2006-12-09,1349,1
2006-12-10,1349,1
2006-12-11,1350,1
2006-12-12,1351,1
2006-12-13,1351,1
2006-12-14,1352,1
2006-12-15,1352,1
2006-12-16,1353,1
2006-12-17,1353,1
2006-12-18,1354,1
2006-12-19,1354,1
2006-12-20,1354,1
2006-12-21,1355,1
2006-12-22,1355,1
2006-12-23,1355,1
2006-12-24,1356,1
2006-12-25,1356,1
2006-12-26,1356,1
2006-12-27,1356,1
2006-12-28,1357,1
2006-12-29,1357,1
2006-12-30,1357,1
2006-12-31,1357,1
