DATE,PRICE,IMPUTED
2006-09-23,1170,0
2006-09-24,1164,1
2006-09-25,1145,0
2006-09-26,1139,0
2006-09-27,1157,0
2006-09-28,1155,0
2006-09-29,1150,0
2006-09-30,1160,0
2006-10-01,1157,1
2006-10-02,1157,1
2006-10-03,1155,0
2006-10-04,1153,0
2006-10-05,1153,1
2006-10-06,1155,0
2006-10-07,1170,0
2006-10-08,1165,1
2006-10-09,1145,0
2006-10-10,1120,0
2006-10-11,1130,0
2006-10-12,1130,0
2006-10-13,1125,0
2006-10-14,1172,0
2006-10-15,1158,1
2006-10-16,1100,0
2006-10-17,1130,0
2006-10-18,1135,0
2006-10-19,1132,1
2006-10-20,1132,1
2006-10-21,1132,1
2006-10-22,1132,1
2006-10-23,1132,1
2006-10-24,1160,0
2006-10-25,1175,0
2006-10-26,1190,0
2006-10-27,1180,0
2006-10-28,1180,0
2006-10-29,1180,1
2006-10-30,1190,0
2006-10-31,1195,0
2006-11-01,1190,0
2006-11-02,1210,0
2006-11-03,1240,0
2006-11-04,1250,0
2006-11-05,1244,1
2006-11-06,1250,0
2006-11-07,1250,0
2006-11-08,1250,0
2006-11-09,1290,0
2006-11-10,1290,0
2006-11-11,1290,0
2006-11-12,1289,1
2006-11-13,1310,0
2006-11-14,1305,0
2006-11-15,1310,0
2006-11-16,1320,0
2006-11-17,1310,0
2006-11-18,1315,0
2006-11-19,1314,1
2006-11-20,1330,0
2006-11-21,1370,0
2006-11-22,1355,0
2006-11-23,1355,0
2006-11-24,1355,0
2006-11-25,1360,0
2006-11-26,1359,1
2006-11-27,1370,0
2006-11-28,1375,0
2006-11-29,1374,1
2006-11-30,1374,1
2006-12-01,1375,1
2006-12-02,1340,0
2006-12-03,1350,1
2006-12-04,1330,0
2006-12-05,1335,1
2006-12-06,1330,0
2006-12-07,1325,0
2006-12-08,1320,0
2006-12-09,1330,0
2006-12-10,1327,1
2006-12-11,1335,0
2006-12-12,1340,0
2006-12-13,1338,1
2006-12-14,1335,0
2006-12-15,1335,1
2006-12-16,1335,1
2006-12-17,1335,1
2006-12-18,1300,0
2006-12-19,1300,0
2006-12-20,1300,0
2006-12-21,1320,0
2006-12-22,1330,0
2006-12-23,1325,0
2006-12-24,1325,1
2006-12-25,1325,1
2006-12-26,1365,0
2006-12-27,1340,0
2006-12-28,1335,0
2006-12-29,1340,0
2006-12-30,1340,0
2006-12-31,1339,1
