DATE,PRICE,IMPUTED
2006-09-23,1156,1
2006-09-24,1159,1
2006-09-25,1150,0
2006-09-26,1050,0
2006-09-27,1140,0
2006-09-28,1142,0
2006-09-29,1130,0
2006-09-30,1131,1
2006-10-01,1130,1
2006-10-02,1130,1
2006-10-03,1130,1
2006-10-04,1135,0
2006-10-05,1140,0
2006-10-06,1150,0
2006-10-07,1140,0
2006-10-08,1142,1
2006-10-09,1140,0
2006-10-10,1160,0
2006-10-11,1130,0
2006-10-12,1120,0
2006-10-13,1130,0
2006-10-14,1110,0
2006-10-15,1123,1
2006-10-16,1150,0
2006-10-17,1140,0
2006-10-18,1150,0
2006-10-19,1141,1
2006-10-20,1143,1
2006-10-21,1143,1
2006-10-22,1143,1
2006-10-23,1143,1
2006-10-24,1143,1
2006-10-25,1150,0
2006-10-26,1170,0
2006-10-27,1154,1
2006-10-28,1157,1
2006-10-29,1156,1
2006-10-30,1156,1
2006-10-31,1200,0
2006-11-01,1200,0
2006-11-02,1200,0
2006-11-03,1200,0
2006-11-04,1275,0
2006-11-05,1226,1
2006-11-06,1260,0
2006-11-07,1245,1
2006-11-08,1248,1
2006-11-09,1285,0
2006-11-10,1270,0
2006-11-11,1300,0
2006-11-12,1282,1
2006-11-13,1300,0
2006-11-14,1320,0
2006-11-15,1305,0
2006-11-16,1330,0
2006-11-17,1300,0
2006-11-18,1250,0
2006-11-19,1287,1
2006-11-20,1278,1
2006-11-21,1374,0
2006-11-22,1370,0
2006-11-23,1365,0
2006-11-24,1355,0
2006-11-25,1365,0
2006-11-26,1362,1
2006-11-27,1300,0
2006-11-28,1365,0
2006-11-29,1350,0
2006-11-30,1300,0
2006-12-01,1350,0
2006-12-02,1332,1
2006-12-03,1335,1
2006-12-04,1325,0
2006-12-05,1298,0
2006-12-06,1300,0
2006-12-07,1312,0
2006-12-08,1310,0
2006-12-09,1300,0
2006-12-10,1305,1
2006-12-11,1315,0
2006-12-12,1320,0
2006-12-13,1325,0
2006-12-14,1319,1
2006-12-15,1325,0
2006-12-16,1300,0
2006-12-17,1313,1
2006-12-18,1300,0
2006-12-19,1290,0
2006-12-20,1300,0
2006-12-21,1260,0
2006-12-22,1315,0
2006-12-23,1320,0
2006-12-24,1307,1
2006-12-25,1325,0
2006-12-26,1300,0
2006-12-27,1340,0
2006-12-28,1335,0
2006-12-29,1300,0
2006-12-30,1340,0
2006-12-31,1323,1
