DATE,PRICE,IMPUTED
2006-01-01,1135,1
2006-01-02,1135,1
2006-01-03,1135,1
2006-01-04,1135,1
2006-01-05,1135,1
2006-01-06,1135,1
2006-01-07,1135,1
2006-01-08,1135,1
2006-01-09,1135,1
2006-01-10,1135,1
2006-01-11,1135,1
2006-01-12,1135,1
2006-01-13,1135,1
2006-01-14,1135,1
2006-01-15,1135,1
2006-01-16,1135,1
2006-01-17,1135,1
2006-01-18,1135,1
2006-01-19,1135,1
2006-01-20,1135,1
2006-01-21,1135,1
2006-01-22,1135,1
2006-01-23,1135,1
2006-01-24,1135,1
2006-01-25,1135,1
2006-01-26,1135,1
2006-01-27,1135,1
2006-01-28,1135,1
2006-01-29,1135,1
2006-01-30,1135,1
2006-01-31,1135,1
2006-02-01,1135,1
2006-02-02,1135,1
2006-02-03,1135,1
2006-02-04,1135,1
2006-02-05,1135,1
2006-02-06,1135,1
2006-02-07,1135,1
2006-02-08,1135,1
2006-02-09,1135,1
2006-02-10,1135,1
2006-02-11,1135,1
2006-02-12,1135,1
2006-02-13,1135,1
2006-02-14,1135,1
2006-02-15,1135,1
2006-02-16,1135,1
2006-02-17,1135,1
2006-02-18,1135,1
2006-02-19,1135,1
2006-02-20,1135,1
2006-02-21,1135,1
2006-02-22,1135,1
2006-02-23,1135,1
2006-02-24,1135,1
2006-02-25,1135,1
2006-02-26,1135,1
2006-02-27,1135,1
2006-02-28,1135,1
2006-03-01,1135,1
2006-03-02,1135,1
2006-03-03,1135,1
2006-03-04,1135,0
2006-03-05,1123,1
2006-03-06,1111,1
2006-03-07,1100,0
2006-03-08,1128,0
2006-03-09,1125,0
2006-03-10,1118,0
2006-03-11,1115,0
2006-03-12,1128,1
2006-03-13,1122,0
2006-03-14,1119,1
2006-03-15,1102,1
2006-03-16,1102,1
2006-03-17,1112,0
2006-03-18,1117,0
2006-03-19,1108,1
2006-03-20,1117,0
2006-03-21,1109,0
2006-03-22,1111,0
2006-03-23,1098,0
2006-03-24,1116,0
2006-03-25,1114,0
2006-03-26,1086,1
2006-03-27,1118,0
2006-03-28,1117,0
2006-03-29,1103,1
2006-03-30,1103,1
2006-03-31,1075,0
2006-04-01,1076,1
2006-04-02,1102,1
2006-04-03,1072,0
2006-04-04,1100,0
2006-04-05,1109,0
2006-04-06,1085,1
2006-04-07,1102,1
2006-04-08,1102,1
2006-04-09,1102,1
2006-04-10,1102,1
2006-04-11,1102,1
2006-04-12,1165,0
2006-04-13,1179,1
2006-04-14,1145,0
2006-04-15,1050,0
2006-04-16,1029,1
2006-04-17,1160,0
2006-04-18,1174,0
2006-04-19,1186,0
2006-04-20,1179,0
2006-04-21,1173,0
2006-04-22,1200,0
2006-04-23,1144,1
2006-04-24,1225,0
2006-04-25,1224,0
2006-04-26,1219,0
2006-04-27,1211,1
2006-04-28,1254,0
2006-04-29,1272,0
2006-04-30,1136,1
2006-05-01,1246,0
2006-05-02,1254,0
2006-05-03,1277,0
2006-05-04,1274,0
2006-05-05,1263,0
2006-05-06,1265,0
2006-05-07,1140,1
2006-05-08,1259,0
2006-05-09,1250,0
2006-05-10,1268,0
2006-05-11,1269,0
2006-05-12,1304,0
2006-05-13,1304,0
2006-05-14,1136,1
2006-05-15,1128,1
2006-05-16,1289,0
2006-05-17,1289,0
2006-05-18,1137,1
2006-05-19,1279,0
2006-05-20,1260,0
2006-05-21,1162,1
2006-05-22,1258,0
2006-05-23,1251,0
2006-05-24,1257,0
2006-05-25,1265,0
2006-05-26,1273,0
2006-05-27,1273,1
2006-05-28,1231,1
2006-05-29,1258,0
2006-05-30,1250,0
2006-05-31,1245,0
2006-06-01,1240,0
2006-06-02,1240,1
2006-06-03,1240,0
2006-06-04,1240,1
2006-06-05,1254,0
2006-06-06,1243,0
2006-06-07,1230,0
2006-06-08,1235,0
2006-06-09,1229,0
2006-06-10,1235,0
2006-06-11,1235,1
2006-06-12,1239,0
2006-06-13,1244,0
2006-06-14,1232,0
2006-06-15,1224,0
2006-06-16,1190,0
2006-06-17,1118,0
2006-06-18,1118,1
2006-06-19,1200,0
2006-06-20,1196,0
2006-06-21,1194,0
2006-06-22,1198,0
2006-06-23,1198,0
2006-06-24,1195,0
2006-06-25,1195,1
2006-06-26,1195,1
2006-06-27,1185,0
2006-06-28,1195,0
2006-06-29,1190,0
2006-06-30,1180,0
2006-07-01,1186,0
2006-07-02,1186,1
2006-07-03,1185,0
2006-07-04,1190,0
2006-07-05,1185,0
2006-07-06,1160,0
2006-07-07,1185,0
2006-07-08,1175,0
2006-07-09,1175,1
2006-07-10,1168,0
2006-07-11,1175,0
2006-07-12,1185,0
2006-07-13,1185,0
2006-07-14,1195,0
2006-07-15,1195,1
2006-07-16,1195,1
2006-07-17,1196,0
2006-07-18,1195,0
2006-07-19,1193,0
2006-07-20,1200,0
2006-07-21,1200,1
2006-07-22,1192,0
2006-07-23,1192,1
2006-07-24,1200,0
2006-07-25,1200,1
2006-07-26,1200,1
2006-07-27,1200,1
2006-07-28,1200,1
2006-07-29,1200,1
2006-07-30,1200,1
2006-07-31,1200,1
2006-08-01,1200,1
2006-08-02,1200,1
2006-08-03,1200,1
2006-08-04,1200,1
2006-08-05,1200,1
2006-08-06,1200,1
2006-08-07,1200,1
2006-08-08,1200,1
2006-08-09,1200,1
2006-08-10,1200,1
2006-08-11,1200,1
2006-08-12,1200,1
2006-08-13,1200,1
2006-08-14,1200,1
2006-08-15,1200,1
2006-08-16,1200,1
2006-08-17,1200,1
2006-08-18,1200,1
2006-08-19,1200,1
2006-08-20,1200,1
2006-08-21,1200,1
2006-08-22,1200,1
2006-08-23,1200,1
