GAIN,LOSS,CONFIDENCE,MEAN_GAIN,MEAN_LOSS,MEAN_PRICE,DATE,PREDICTED
0.0,0.0,0.5666666666666667,2605.6393037683824,2605.6393037683824,2261.6698018391926,2008-07-22,0.0
378.76275431315116,378.76275431315116,0.5818181818181818,2640.4325561523438,2640.4325561523438,2309.915755948153,2008-07-29,163.3311123936993
390.2215799967448,390.2215799967448,0.6,2651.8913818359374,2651.8913818359374,2345.5531176757813,2008-08-05,167.58752994917066
386.48623769475125,386.48623769475125,0.6444444444444445,2648.156039533944,2648.156039533944,2381.9911295572915,2008-08-12,166.2590861169789
402.4369169108072,402.4369169108072,0.625,2664.10671875,2664.10671875,2362.951452636719,2008-08-19,172.1172026432885
495.48316446940134,495.48316446940134,0.5714285714285714,2757.152966308594,2757.152966308594,2382.130437360491,2008-08-26,205.7682180667017
517.4852274576824,517.4852274576824,0.6333333333333333,2779.155029296875,2779.155029296875,2444.1377766927085,2008-09-02,213.67978266037613
507.55348630418985,507.55348630418985,0.68,2769.2232881433824,2769.2232881433824,2442.096181640625,2008-09-09,210.23831261092852
543.6862772623699,543.6862772623699,0.7,2805.3560791015625,2805.3560791015625,2478.6770080566407,2008-09-16,223.0981042077646
579.5839335123701,579.5839335123701,0.6666666666666666,2841.2537353515627,2841.2537353515627,2455.3555501302085,2008-09-23,235.6232469731487
653.3968834286648,653.3968834286648,0.7,2915.0666852678573,2915.0666852678573,2609.6440551757814,2008-09-30,261.30549993948307
320.4239481608074,320.4239481608074,0.8,2582.09375,2582.09375,2357.5149658203127,2008-10-07,141.81019920056744
